Format,LMUTelemetry v3
Version,1
Player,Daniel Skraba
TrackName,Circuit de Spa-Francorchamps
CarClass,GTE
CarName,Corvette Racing #33:LM
SessionUTC,2025-11-21T10:49:17Z
LapTime [s],0.000
TrackLen [m],6981.600586
NumSectors,3
Sector1End [m],2327.200195
Sector2End [m],4654.400391
Sector3End [m],6981.600586
GameVersion,1.0
Event,Practice

LapDistance [m],Sector [int],Speed [km/h],EngineRevs [rpm],ThrottlePercentage [%],BrakePercentage [%],Steer [%],Gear [int],X [m],Z [m]
244.704,0,69.54,4224.88,0.00,25.40,23.68,1,-358.56,946.57
244.704,0,69.19,4204.42,0.00,23.81,23.87,1,-358.56,946.96
244.704,0,68.74,4182.59,0.00,23.81,24.07,1,-358.56,947.35
244.704,0,68.75,4155.31,0.00,23.81,24.27,1,-358.55,947.73
244.704,0,68.43,4133.48,0.00,22.22,24.27,1,-358.54,948.12
244.704,0,68.14,4113.02,0.00,22.22,24.27,1,-358.52,948.50
244.704,0,67.84,4092.56,0.00,22.22,24.46,1,-358.50,948.88
244.704,0,67.56,4070.73,0.00,22.22,24.66,1,-358.47,949.26
248.070,0,67.30,4046.17,0.00,20.63,24.66,1,-358.44,949.64
248.070,0,67.02,4022.98,0.00,20.63,24.66,1,-358.41,950.02
248.070,0,66.87,4002.52,0.00,20.63,24.66,1,-358.37,950.39
248.070,0,66.73,3984.79,0.00,19.05,24.66,1,-358.33,950.76
248.070,0,66.62,3971.14,0.00,17.46,24.85,1,-358.28,951.13
248.070,0,66.53,3956.14,1.59,17.46,24.85,1,-358.23,951.50
248.070,0,66.41,3941.13,1.59,15.87,24.85,1,-358.17,951.87
248.070,0,66.05,3923.40,1.59,15.87,24.85,1,-358.11,952.23
248.070,0,65.94,3912.48,1.59,14.29,24.85,1,-358.05,952.60
248.070,0,65.63,3900.21,3.17,14.29,24.85,1,-357.98,952.96
251.779,0,65.62,3887.93,3.17,14.29,24.66,1,-357.92,953.32
251.779,0,65.43,3879.74,3.17,12.70,24.66,1,-357.85,953.68
251.779,0,65.40,3871.56,3.17,11.11,24.46,1,-357.77,954.04
251.779,0,65.47,3864.74,4.76,9.52,24.46,1,-357.69,954.39
251.779,0,65.34,3859.28,4.76,9.52,24.46,1,-357.61,954.75
251.779,0,65.26,3856.55,4.76,9.52,24.46,1,-357.52,955.10
251.779,0,64.89,3849.73,6.35,9.52,24.46,1,-357.43,955.45
251.779,0,64.86,3845.64,6.35,9.52,24.46,1,-357.34,955.80
251.779,0,64.83,3838.82,6.35,9.52,24.46,1,-357.24,956.15
251.779,0,64.82,3833.36,7.94,9.52,24.66,1,-357.14,956.49
256.331,0,64.81,3832.00,7.94,9.52,24.66,1,-357.03,956.84
256.331,0,64.81,3832.00,7.94,9.52,24.66,1,-357.03,956.84
256.331,0,64.84,3832.00,9.52,9.52,24.85,1,-356.93,957.18
256.331,0,65.02,3830.63,9.52,7.94,25.05,1,-356.81,957.53
256.331,0,65.08,3826.54,9.52,7.94,25.24,1,-356.70,957.87
256.331,0,64.87,3822.45,11.11,6.35,25.64,1,-356.58,958.21
256.331,0,64.95,3819.72,11.11,6.35,26.42,1,-356.46,958.55
256.331,0,65.67,3825.18,12.70,4.76,27.01,1,-356.33,958.89
256.331,0,65.24,3837.45,12.70,3.17,27.40,1,-356.19,959.23
256.331,0,66.00,3856.55,14.29,1.59,27.79,1,-356.06,959.57
256.331,0,65.79,3890.66,15.87,0.00,28.18,1,-355.92,959.92
262.029,0,66.15,3952.04,17.46,0.00,29.16,1,-355.79,960.26
262.029,0,66.14,3960.23,19.05,0.00,30.53,1,-355.65,960.60
262.029,0,67.45,3902.93,19.05,0.00,31.90,1,-355.51,960.95
262.029,0,66.91,3860.64,19.05,0.00,33.46,1,-355.36,961.30
